location;chrom;start;end;CIRCexplorer2_name;CircBank_Name;S04_P;S05_P;S14_P;S19_P;S16_N;S02_N;S23_N;S07_N
chr5:154244751-154252211;chr5;154244751;154252211;HSA_CIRCpedia_50892;hsa_circCNOT8_003;4;NA;NA;1;NA;3;3;1
chr4:170384393-170429482;chr4;170384393;170429482;HSA_CIRCpedia_68942;hsa_circNEK1_033;NA;NA;NA;1;NA;NA;2;NA
chr13:114149816-114157903;chr13;114149816;114157903;HSA_CIRCpedia_10172;hsa_circTMCO3_005;NA;NA;NA;3;NA;3;NA;NA
chr3:150280328-150281401;chr3;150280328;150281401;HSA_CIRCpedia_44003;hsa_circEIF2A_003;NA;2;NA;3;NA;NA;NA;NA
chr20:34450934-34457473;chr20;34450934;34457473;HSA_CIRCpedia_122055;hsa_circPHF20_029;1;NA;NA;4;NA;NA;1;1
chr9:5077452-5081861;chr9;5077452;5081861;hsa-circ-JAK2.143;NA;NA;NA;NA;2;NA;NA;NA;NA
chr4:84337883-84368188;chr4;84337883;84368188;HSA_CIRCpedia_365840;hsa_circHELQ_010;NA;NA;NA;2;NA;NA;NA;NA
chr11:35198121-35211612;chr11;35198121;35211612;HSA_CIRCpedia_4224;hsa_circCD44_003;2;NA;NA;1;NA;NA;NA;NA
chr5:151326199-151327356;chr5;151326199;151327356;hsa_circRNA_406699;hsa_circ_chr5_00061;NA;NA;NA;1;NA;3;NA;NA
chr5:159462146-159476669;chr5;159462146;159476669;HSA_CIRCpedia_137037;NA;NA;NA;NA;3;NA;NA;NA;NA
chr11:108178623-108188248;chr11;108178623;108188248;HSA_CIRCpedia_75205;NA;1;NA;NA;2;NA;NA;NA;NA
chr1:180945253-180962561;chr1;180945253;180962561;hsa_circ_0003683;hsa_circSTX6_012;NA;NA;NA;2;NA;NA;NA;NA
chr20:31954664-31962018;chr20;31954664;31962018;HSA_CIRCpedia_95648;NA;NA;1;NA;2;NA;NA;NA;NA
chr1:179316734-179320597;chr1;179316734;179320597;HSA_CIRCpedia_29017;hsa_circSOAT1_027;1;NA;NA;3;NA;NA;3;1
chr4:148867767-148887990;chr4;148867767;148887990;HSA_CIRCpedia_47617;hsa_circARHGAP10_036;2;NA;NA;2;NA;NA;4;NA
chr17:29579955-29592357;chr17;29579955;29592357;HSA_CIRCpedia_20087;NA;NA;NA;NA;5;NA;NA;NA;NA
chr4:151791676-151814301;chr4;151791676;151814301;HSA_CIRCpedia_47727;hsa_circLRBA_047;NA;NA;NA;6;NA;NA;2;NA
chr1:113196219-113209767;chr1;113196219;113209767;HSA_CIRCpedia_27341;hsa_circCAPZA1_011;NA;NA;NA;3;NA;NA;NA;NA
chr3:182775075-182789145;chr3;182775075;182789145;hsa-circ-MCCC1-overlap.3;hsa_circMCCC1_010;NA;NA;NA;1;NA;NA;NA;NA
chr11:76696686-76722419;chr11;76696686;76722419;HSA_CIRCpedia_5681;hsa_circACER3_013;NA;NA;NA;1;NA;NA;NA;NA
chr22:28290542-28293880;chr22;28290542;28293880;HSA_CIRCpedia_36224;hsa_circPITPNB_011;NA;4;NA;2;NA;NA;NA;NA
chr8:28827559-28876430;chr8;28827559;28876430;HSA_CIRCpedia_60807;hsa_circHMBOX1_009;NA;2;NA;2;NA;NA;4;1
chr12:57691110-57704246;chr12;57691110;57704246;HSA_CIRCpedia_127441;NA;NA;NA;NA;2;NA;NA;NA;NA
chr2:37464899-37475569;chr2;37464899;37475569;hsa_circ_0006444;hsa_circC2orf56_004;NA;NA;NA;1;NA;NA;NA;NA
chr5:41800095-41803265;chr5;41800095;41803265;hsa-circ-OXCT1-overlap.3;hsa_circOXCT1_012;NA;NA;NA;1;NA;NA;NA;NA
chr2:201721404-201726585;chr2;201721404;201726585;HSA_CIRCpedia_39113;hsa_circCLK1_004;NA;NA;NA;1;NA;NA;NA;NA
chr2:46228542-46237656;chr2;46228542;46237656;HSA_CIRCpedia_41497;hsa_circPRKCE_023;NA;1;NA;1;NA;NA;1;NA
chr12:96688776-96694138;chr12;96688776;96694138;HSA_CIRCpedia_72056;hsa_circCDK17_010;2;NA;NA;2;NA;NA;3;NA
chr4:175219116-175237441;chr4;175219116;175237441;HSA_CIRCpedia_103762;hsa_circCEP44_003;1;NA;NA;1;NA;NA;NA;NA
chr5:98209296-98215432;chr5;98209296;98215432;HSA_CIRCpedia_53105;hsa_circCHD1_018;NA;NA;NA;1;NA;NA;NA;NA
chr3:108366789-108391503;chr3;108366789;108391503;HSA_CIRCpedia_42924;hsa_circDZIP3_017;NA;NA;NA;2;NA;NA;NA;NA
chr9:99098998-99114391;chr9;99098998;99114391;HSA_CIRCpedia_64824;hsa_circSLC35D2_012;9;5;NA;2;NA;NA;NA;NA
chr15:50336790-50399205;chr15;50336790;50399205;HSA_CIRCpedia_120633;hsa_circATP8B4_002;NA;NA;NA;3;NA;NA;NA;NA
chr3:132433928-132438674;chr3;132433928;132438674;HSA_CIRCpedia_43606;NA;NA;NA;NA;1;NA;NA;NA;NA
chr2:24920526-24930757;chr2;24920526;24930757;HSA_CIRCpedia_133995;hsa_circNCOA1_048;NA;5;NA;1;NA;NA;NA;1
chr2:45640252-45715470;chr2;45640252;45715470;HSA_CIRCpedia_41464;hsa_circSRBD1_030;NA;NA;NA;3;NA;NA;NA;NA
chr7:11053373-11062606;chr7;11053373;11062606;HSA_CIRCpedia_56298;NA;NA;NA;NA;1;NA;NA;NA;NA
chr9:107318592-107384473;chr9;107318592;107384473;hsa-circ-OR13C9-overlap.1;hsa_circOR13C5_001;NA;NA;NA;1;NA;NA;NA;NA
chr2:38545676-38546161;chr2;38545676;38546161;HSA_CIRCpedia_41175;hsa_circATL2_003;NA;NA;NA;3;NA;NA;NA;NA
chr1:70761812-70781249;chr1;70761812;70781249;HSA_CIRCpedia_32870;hsa_circANKRD13C_010;NA;NA;NA;1;NA;2;NA;NA
chr2:201721404-201722812;chr2;201721404;201722812;HSA_CIRCpedia_39112;hsa_circCLK1_008;NA;NA;NA;4;NA;3;NA;NA
chr18:23632587-23658124;chr18;23632587;23658124;HSA_CIRCpedia_23538;hsa_circSS18_008;1;3;NA;3;NA;NA;5;NA
chr6:111708967-111714175;chr6;111708967;111714175;HSA_CIRCpedia_53338;hsa_circREV3L_029;NA;5;NA;1;NA;NA;NA;NA
chr7:6472467-6474651;chr7;6472467;6474651;HSA_CIRCpedia_58478;hsa_circDAGLB_010;NA;NA;NA;1;NA;NA;1;NA
chr9:135275421-135275645;chr9;135275421;135275645;HSA_CIRCpedia_372501;NA;NA;NA;NA;1;NA;NA;NA;NA
chr8:17817522-17819683;chr8;17817522;17819683;HSA_CIRCpedia_60481;hsa_circPCM1_027;NA;NA;NA;1;NA;NA;NA;NA
chr5:112102885-112137080;chr5;112102885;112137080;HSA_CIRCpedia_164597;hsa_circAPC_014;NA;NA;NA;1;NA;NA;NA;NA
chr12:111962995-111990781;chr12;111962995;111990781;HSA_CIRCpedia_6695;hsa_circATXN2_012;NA;NA;NA;4;NA;NA;NA;NA
chr10:118704434-118719741;chr10;118704434;118719741;HSA_CIRCpedia_129360;hsa_circKIAA1598_010;NA;1;NA;1;NA;NA;NA;NA
chr22:46572649-46594488;chr22;46572649;46594488;HSA_CIRCpedia_37050;NA;NA;NA;NA;1;NA;NA;1;NA
chr3:33653492-33705007;chr3;33653492;33705007;HSA_CIRCpedia_104202;NA;1;NA;NA;1;NA;NA;NA;NA
chr15:35152242-35159810;chr15;35152242;35159810;HSA_CIRCpedia_13982;hsa_circAQR_072;NA;NA;NA;2;NA;7;NA;NA
chr13:77817193-77818086;chr13;77817193;77818086;HSA_CIRCpedia_11138;hsa_circMYCBP2_034;NA;2;NA;3;NA;NA;NA;NA
chr13:77791974-77799689;chr13;77791974;77799689;HSA_CIRCpedia_11132;hsa_circMYCBP2_054;NA;NA;NA;1;NA;NA;NA;NA
chr14:75290958-75302611;chr14;75290958;75302611;hsa-circ-YLPM1-overlap.5;NA;NA;NA;NA;1;NA;NA;NA;NA
chr1:92554254-92595333;chr1;92554254;92595333;HSA_CIRCpedia_33151;hsa_circBTBD8_003;NA;4;NA;1;NA;2;NA;NA
chr21:45457672-45479095;chr21;45457672;45479095;HSA_CIRCpedia_96667;NA;NA;NA;NA;1;NA;NA;NA;NA
chr15:89811629-89836294;chr15;89811629;89836294;HSA_CIRCpedia_84016;NA;NA;NA;NA;1;NA;NA;NA;NA
chr4:169362487-169393960;chr4;169362487;169393960;HSA_CIRCpedia_151003;hsa_circDDX60L_002;NA;2;NA;2;NA;3;NA;NA
chr15:70346776-70347637;chr15;70346776;70347637;HSA_CIRCpedia_15455;hsa_circTLE3_006;NA;1;NA;2;NA;NA;NA;NA
chr1:22073559-22084276;chr1;22073559;22084276;HSA_CIRCpedia_30116;hsa_circUSP48_004;2;4;NA;3;NA;NA;4;2
chr1:93770944-93777165;chr1;93770944;93777165;hsa-circ-LOC100131564-overlap.5;hsa_circRP4-717I23.3_002;NA;NA;NA;1;NA;NA;NA;NA
chr16:4701963-4707364;chr16;4701963;4707364;HSA_CIRCpedia_17650;hsa_circMGRN1_009;NA;NA;NA;2;NA;NA;NA;NA
chr12:124218472-124221818;chr12;124218472;124221818;HSA_CIRCpedia_7532;hsa_circATP6V0A2_008;NA;NA;NA;5;NA;NA;NA;NA
chrX:85211157-85236813;chrX;85211157;85236813;HSA_CIRCpedia_66378;hsa_circCHM_005;NA;NA;NA;2;NA;NA;NA;NA
chr7:959604-966280;chr7;959604;966280;HSA_CIRCpedia_59379;hsa_circADAP1_003;NA;NA;NA;1;NA;NA;NA;NA
chr14:64574208-64587779;chr14;64574208;64587779;HSA_CIRCpedia_115471;hsa_circSYNE2_047;NA;NA;NA;1;NA;NA;NA;NA
chr14:56078857-56086030;chr14;56078857;56086030;hsa-circ-KTN1-overlap.6;NA;NA;NA;NA;3;NA;NA;NA;NA
chr5:54945034-54948551;chr5;54945034;54948551;HSA_CIRCpedia_147055;NA;NA;NA;NA;2;NA;NA;NA;NA
chr6:41057942-41062236;chr6;41057942;41062236;HSA_CIRCpedia_54948;NA;NA;NA;NA;1;NA;NA;NA;NA
chr2:27900161-27900791;chr2;27900161;27900791;HSA_CIRCpedia_91655;hsa_circSLC4A1AP_006;NA;NA;NA;4;NA;2;4;4
chr10:6255585-6261656;chr10;6255585;6261656;HSA_CIRCpedia_1918;hsa_circPFKFB3_004;NA;NA;NA;2;NA;NA;NA;NA
chr15:62221699-62223458;chr15;62221699;62223458;HSA_CIRCpedia_15000;hsa_circVPS13C_048;6;NA;NA;9;NA;2;1;NA
chr17:62504709-62530855;chr17;62504709;62530855;HSA_CIRCpedia_174441;NA;NA;NA;NA;2;NA;NA;NA;NA
chr21:17150222-17191165;chr21;17150222;17191165;HSA_CIRCpedia_122112;hsa_circUSP25_021;NA;2;NA;2;NA;NA;5;NA
chr17:34147027-34165557;chr17;34147027;34165557;HSA_CIRCpedia_20263;NA;NA;NA;NA;1;NA;NA;NA;NA
chr3:52797485-52800391;chr3;52797485;52800391;HSA_CIRCpedia_104972;hsa_circNEK4_004;NA;NA;NA;2;NA;NA;NA;NA
chr17:7846708-7847956;chr17;7846708;7847956;HSA_CIRCpedia_77765;hsa_circCNTROB_004;NA;NA;NA;1;NA;NA;NA;NA
chr1:150381381-150418877;chr1;150381381;150418877;HSA_CIRCpedia_27831;NA;NA;NA;NA;2;NA;NA;NA;NA
chr12:32861086-32895682;chr12;32861086;32895682;HSA_CIRCpedia_70964;hsa_circDNM1L_008;NA;NA;NA;1;NA;NA;NA;NA
chr3:37058996-37061954;chr3;37058996;37061954;HSA_CIRCpedia_45489;hsa_circMLH1_010;NA;NA;NA;1;NA;NA;NA;NA
chr5:78595975-78596686;chr5;78595975;78596686;HSA_CIRCpedia_150846;NA;NA;NA;NA;2;NA;NA;NA;NA
chr1:51875206-51924820;chr1;51875206;51924820;hsa-circ-EPS15-overlap.14;NA;NA;NA;NA;2;NA;NA;NA;NA
chr12:94603365-94613939;chr12;94603365;94613939;HSA_CIRCpedia_9801;hsa_circPLXNC1_014;1;NA;NA;5;NA;NA;NA;NA
chr15:31251065-31260213;chr15;31251065;31260213;HSA_CIRCpedia_150168;hsa_circMTMR10_004;NA;NA;NA;1;NA;NA;NA;NA
chr17:25630392-25633908;chr17;25630392;25633908;HSA_CIRCpedia_19789;hsa_circWSB1_007;NA;NA;NA;2;NA;NA;NA;NA
chr7:5942291-5949747;chr7;5942291;5949747;HSA_CIRCpedia_58361;hsa_circCCZ1_009;NA;NA;NA;11;NA;7;8;NA
chr16:84684457-84733717;chr16;84684457;84733717;hsa-circ-USP10-overlap.1;NA;NA;NA;NA;1;NA;NA;NA;NA
chr22:20812094-20825802;chr22;20812094;20825802;HSA_CIRCpedia_133194;hsa_circKLHL22_004;NA;NA;NA;1;NA;NA;NA;NA
chr8:100146859-100160238;chr8;100146859;100160238;HSA_CIRCpedia_59568;hsa_circVPS13B_020;1;NA;NA;1;NA;NA;NA;NA
chr4:48165718-48173466;chr4;48165718;48173466;HSA_CIRCpedia_117729;NA;NA;NA;NA;1;NA;NA;NA;NA
chr6:128150620-128222226;chr6;128150620;128222226;HSA_CIRCpedia_371111;NA;4;NA;NA;2;NA;NA;4;NA
chr18:77063603-77067234;chr18;77063603;77067234;HSA_CIRCpedia_24381;hsa_circATP9B_049;NA;NA;NA;3;NA;NA;NA;1
chr12:112620862-112641576;chr12;112620862;112641576;HSA_CIRCpedia_161318;NA;NA;NA;NA;2;NA;NA;NA;NA
chr12:105507993-105521067;chr12;105507993;105521067;HSA_CIRCpedia_72177;NA;NA;NA;NA;2;NA;NA;NA;NA
chr14:75489516-75509180;chr14;75489516;75509180;HSA_CIRCpedia_369852;hsa_circMLH3_015;NA;NA;NA;1;NA;NA;NA;NA
chr9:20758088-20781928;chr9;20758088;20781928;HSA_CIRCpedia_63723;hsa_circKIAA1797_019;NA;NA;NA;2;NA;NA;NA;NA
chr9:131669435-131671600;chr9;131669435;131671600;HSA_CIRCpedia_63051;hsa_circLRRC8A_003;NA;NA;NA;2;NA;NA;3;NA
chr7:139818912-139833456;chr7;139818912;139833456;HSA_CIRCpedia_115690;NA;NA;NA;NA;1;NA;NA;NA;NA
chr18:685920-697355;chr18;685920;697355;HSA_CIRCpedia_152676;NA;NA;NA;NA;1;NA;NA;NA;NA
chr7:17873674-17890587;chr7;17873674;17890587;HSA_CIRCpedia_150357;hsa_circSNX13_038;NA;NA;NA;1;NA;NA;NA;NA
chr14:53226399-53241279;chr14;53226399;53241279;hsa-circ-STYX-overlap.40;hsa_circSTYX_013;NA;NA;NA;1;NA;NA;NA;NA
chr2:160104882-160112886;chr2;160104882;160112886;HSA_CIRCpedia_92949;NA;NA;2;NA;1;NA;NA;NA;NA
chr8:103358463-103359320;chr8;103358463;103359320;HSA_CIRCpedia_59730;hsa_circUBR5_025;NA;NA;NA;4;NA;NA;NA;NA
chr8:86047081-86053752;chr8;86047081;86053752;HSA_CIRCpedia_117861;NA;1;NA;NA;2;NA;NA;NA;NA
chr2:161207956-161210048;chr2;161207956;161210048;hsa_circ_0001077;hsa_circRBMS1_004;NA;NA;NA;4;NA;2;NA;NA
chr3:47963254-47969840;chr3;47963254;47969840;HSA_CIRCpedia_45989;hsa_circMAP4_010;NA;NA;NA;1;NA;NA;NA;NA
chr1:235944164-235950673;chr1;235944164;235950673;HSA_CIRCpedia_125390;NA;NA;NA;NA;2;NA;1;1;NA
chr3:123348337-123349416;chr3;123348337;123349416;hsa-circ-MYLK-antisense.9;NA;NA;2;NA;2;NA;NA;NA;NA
chr12:62775270-62778083;chr12;62775270;62778083;HSA_CIRCpedia_127457;hsa_circUSP15_015;1;NA;NA;2;NA;2;NA;5
chr8:103357623-103358623;chr8;103357623;103358623;HSA_CIRCpedia_59726;hsa_circUBR5_041;NA;NA;NA;1;NA;NA;NA;NA
chr10:104809463-104828479;chr10;104809463;104828479;HSA_CIRCpedia_76973;hsa_circCNNM2_003;NA;NA;NA;3;NA;NA;NA;NA
chr1:245022030-245023776;chr1;245022030;245023776;HSA_CIRCpedia_160178;NA;NA;NA;NA;1;NA;NA;NA;NA
chr13:21305979-21311944;chr13;21305979;21311944;HSA_CIRCpedia_10306;hsa_circN6AMT2_001;3;NA;NA;4;NA;NA;NA;NA
chr5:38967262-38968132;chr5;38967262;38968132;HSA_CIRCpedia_51811;hsa_circRICTOR_028;NA;NA;NA;2;NA;3;NA;NA
chr22:41566409-41569788;chr22;41566409;41569788;HSA_CIRCpedia_36829;hsa_circEP300_060;2;3;NA;5;NA;NA;4;4
chr13:113439448-113460607;chr13;113439448;113460607;HSA_CIRCpedia_357256;NA;NA;1;NA;1;NA;NA;NA;1
chr14:39646615-39647120;chr14;39646615;39647120;HSA_CIRCpedia_12130;hsa_circPNN_001;1;3;NA;4;NA;NA;NA;NA
chr20:37154046-37161502;chr20;37154046;37161502;HSA_CIRCpedia_157454;hsa_circRALGAPB_021;NA;1;NA;1;NA;NA;NA;NA
chr5:99872252-99922040;chr5;99872252;99922040;hsa-circ-FAM174A-overlap.1;NA;NA;NA;NA;2;NA;NA;NA;NA
chr13:73395986-73428293;chr13;73395986;73428293;HSA_CIRCpedia_118880;hsa_circPIBF1_008;NA;NA;NA;1;NA;NA;NA;NA
chr19:16952578-16965072;chr19;16952578;16965072;HSA_CIRCpedia_25065;hsa_circSIN3B_004;NA;NA;NA;1;NA;NA;NA;NA
chr1:39816456-39824936;chr1;39816456;39824936;HSA_CIRCpedia_31743;hsa_circMACF1_080;3;NA;NA;3;NA;NA;NA;NA
chr1:243736227-243859018;chr1;243736227;243859018;HSA_CIRCpedia_125427;hsa_circAKT3_024;NA;1;NA;2;NA;NA;NA;NA
chr19:44159590-44160792;chr19;44159590;44160792;HSA_CIRCpedia_26068;hsa_circPLAUR_007;NA;NA;NA;1;NA;NA;NA;NA
chr5:108103793-108382899;chr5;108103793;108382899;HSA_CIRCpedia_49768;hsa_circFER_004;NA;NA;NA;3;NA;NA;NA;NA
chr2:37240983-37247979;chr2;37240983;37247979;HSA_CIRCpedia_41110;hsa_circHEATR5B_081;NA;NA;NA;1;NA;NA;NA;NA
chr12:93959388-93960935;chr12;93959388;93960935;hsa-circ-SOCS2-AS1-overlap.2;NA;NA;NA;NA;1;NA;NA;NA;NA
chr11:73829272-73834180;chr11;73829272;73834180;HSA_CIRCpedia_5580;hsa_circC2CD3_025;NA;2;NA;2;NA;NA;NA;NA
chr20:20406252-20453600;chr20;20406252;20453600;hsa-circ-RALGAPA2-overlap.3;hsa_circRALGAPA2_049;1;NA;NA;3;NA;NA;NA;NA
chr4:128938512-128950008;chr4;128938512;128950008;HSA_CIRCpedia_124139;hsa_circC4orf29_017;NA;NA;NA;1;NA;NA;2;2
chr2:61406115-61414164;chr2;61406115;61414164;hsa-circ-AHSA2-overlap.20;NA;1;NA;NA;1;NA;NA;NA;NA
chr1:19670851-19684057;chr1;19670851;19684057;HSA_CIRCpedia_107166;NA;2;NA;NA;1;NA;NA;2;NA
chr9:5944870-5954095;chr9;5944870;5954095;HSA_CIRCpedia_364303;NA;NA;NA;NA;1;NA;NA;NA;NA
chr10:69785302-69826974;chr10;69785302;69826974;hsa-circ-HERC4-overlap.11;NA;NA;NA;NA;1;NA;NA;NA;NA
chr9:78682870-78686814;chr9;78682870;78686814;HSA_CIRCpedia_64432;hsa_circPCSK5_009;2;NA;NA;1;NA;NA;NA;NA
chr3:41657159-41977432;chr3;41657159;41977432;HSA_CIRCpedia_45605;NA;NA;NA;NA;4;NA;NA;NA;NA
chrX:18265888-18275150;chrX;18265888;18275150;HSA_CIRCpedia_65537;hsa_circSCML2_005;NA;NA;NA;1;NA;NA;NA;NA
chr15:44046021-44048964;chr15;44046021;44048964;HSA_CIRCpedia_14490;hsa_circPDIA3_003;NA;NA;NA;6;NA;NA;NA;NA
chr12:110456149-110471762;chr12;110456149;110471762;HSA_CIRCpedia_6593;hsa_circANKRD13A_012;NA;3;NA;1;NA;NA;NA;NA
chr1:171493959-171502100;chr1;171493959;171502100;HSA_CIRCpedia_116941;hsa_circPRRC2C_027;NA;2;NA;3;NA;NA;NA;NA
chr12:131293175-131311812;chr12;131293175;131311812;HSA_CIRCpedia_7664;hsa_circSTX2_003;NA;1;NA;1;NA;NA;NA;NA
chr14:35036891-35055511;chr14;35036891;35055511;HSA_CIRCpedia_162526;NA;NA;NA;NA;1;NA;NA;NA;NA
chr22:43569720-43572402;chr22;43569720;43572402;HSA_CIRCpedia_36956;hsa_circTTLL12_004;NA;NA;NA;1;NA;NA;NA;NA
chr5:102482230-102495032;chr5;102482230;102495032;HSA_CIRCpedia_49709;hsa_circPPIP5K2_015;2;1;NA;2;NA;NA;2;NA
chr16:69304045-69333677;chr16;69304045;69333677;HSA_CIRCpedia_18376;hsa_circSNTB2_011;NA;NA;NA;2;NA;NA;NA;NA
chr1:36814300-36826941;chr1;36814300;36826941;HSA_CIRCpedia_31655;NA;NA;NA;NA;2;NA;NA;NA;NA
chr3:184566858-184618760;chr3;184566858;184618760;HSA_CIRCpedia_44744;hsa_circVPS8_016;NA;1;NA;3;NA;NA;NA;NA
chr5:112321531-112349233;chr5;112321531;112349233;hsa-circ-DCP2-overlap.3;hsa_circDCP2_007;NA;NA;NA;2;NA;NA;NA;NA
chr12:123804446-123808378;chr12;123804446;123808378;HSA_CIRCpedia_127992;hsa_circSBNO1_023;NA;NA;NA;3;NA;NA;NA;NA
chr2:213800665-213861187;chr2;213800665;213861187;hsa-circ-intronic.27527;NA;NA;NA;NA;4;NA;NA;NA;NA
chr7:127752202-127758786;chr7;127752202;127758786;hsa_circRNA_407003;hsa_circTCONS_00013584_001;4;3;NA;4;NA;2;NA;1
chr13:41897191-41905505;chr13;41897191;41905505;HSA_CIRCpedia_10710;hsa_circNAA16_020;NA;NA;NA;1;NA;NA;1;NA
chr9:79852917-79853302;chr9;79852917;79853302;HSA_CIRCpedia_64450;hsa_circVPS13A_014;NA;NA;NA;3;NA;3;2;1
chr17:29123177-29131126;chr17;29123177;29131126;HSA_CIRCpedia_129624;NA;2;NA;NA;3;NA;1;6;3
chr7:135255852-135258573;chr7;135255852;135258573;HSA_CIRCpedia_56819;NA;NA;NA;NA;1;NA;NA;NA;NA
chr17:37933903-37949186;chr17;37933903;37949186;HSA_CIRCpedia_346317;NA;NA;NA;NA;7;NA;NA;NA;NA
chr1:176113140-176145143;chr1;176113140;176145143;hsa_circRNA_404614;hsa_circRFWD2_013;NA;1;NA;2;NA;NA;NA;NA
chr18:74090809-74092259;chr18;74090809;74092259;HSA_CIRCpedia_24304;hsa_circZNF516_003;NA;5;NA;1;NA;NA;3;NA
chr6:84627723-84650320;chr6;84627723;84650320;HSA_CIRCpedia_118243;hsa_circCYB5R4_007;NA;NA;NA;2;NA;NA;NA;NA
chr12:132209949-132212973;chr12;132209949;132212973;HSA_CIRCpedia_7674;hsa_circSFSWAP_005;NA;NA;NA;1;NA;NA;NA;NA
chrX:47069021-47072580;chrX;47069021;47072580;HSA_CIRCpedia_65931;hsa_circUBA1_027;NA;NA;NA;1;NA;NA;NA;NA
chr12:99042096-99043462;chr12;99042096;99043462;HSA_CIRCpedia_72071;hsa_circAPAF1_002;NA;NA;NA;2;NA;NA;4;NA
chr11:120907213-120930794;chr11;120907213;120930794;HSA_CIRCpedia_3518;hsa_circTBCEL_003;1;2;NA;4;NA;NA;7;NA
chr8:22332466-22370945;chr8;22332466;22370945;HSA_CIRCpedia_60610;hsa_circPPP3CC_004;NA;NA;NA;7;NA;NA;NA;2
chr4:103648424-103651893;chr4;103648424;103651893;hsa-circ-intronic.30560;NA;NA;NA;NA;2;NA;NA;2;NA
chr15:68438153-68457142;chr15;68438153;68457142;HSA_CIRCpedia_368058;NA;NA;NA;NA;1;NA;NA;NA;NA
chr7:151851595-151852621;chr7;151851595;151852621;hsa-circ-intronic.34831_N;hsa_circMLL3_121;NA;NA;NA;1;NA;NA;NA;NA
chr10:90653627-90668534;chr10;90653627;90668534;hsa-circ-STAMBPL1-overlap.3;NA;NA;NA;NA;1;NA;NA;NA;NA
chr15:51240216-51250991;chr15;51240216;51250991;HSA_CIRCpedia_14710;hsa_circAP4E1_010;3;NA;NA;2;NA;NA;1;2
chrX:48797180-48798178;chrX;48797180;48798178;hsa-circ-intronic.14430;NA;NA;NA;NA;1;NA;NA;NA;NA
chr1:54670690-54678331;chr1;54670690;54678331;HSA_CIRCpedia_32474;NA;NA;NA;NA;1;NA;NA;1;NA
chr15:59080104-59124115;chr15;59080104;59124115;hsa-circ-FAM63B.23;NA;NA;NA;NA;1;NA;NA;NA;NA
chr10:93586773-93609351;chr10;93586773;93609351;HSA_CIRCpedia_143438;NA;NA;NA;NA;1;NA;NA;NA;NA
chr15:85619092-85652361;chr15;85619092;85652361;HSA_CIRCpedia_113359;NA;NA;NA;NA;1;NA;NA;NA;NA
chr7:18535884-18688306;chr7;18535884;18688306;HSA_CIRCpedia_357361;NA;1;NA;NA;1;NA;1;NA;NA
chr2:242593960-242594758;chr2;242593960;242594758;HSA_CIRCpedia_40390;hsa_circATG4B_004;NA;NA;NA;3;NA;NA;NA;NA
chr4:144464661-144466000;chr4;144464661;144466000;HSA_CIRCpedia_103625;hsa_circSMARCA5_014;NA;NA;NA;1;NA;NA;NA;NA
chr2:197860102-197865226;chr2;197860102;197865226;HSA_CIRCpedia_39024;hsa_circANKRD44_041;NA;1;NA;3;NA;NA;4;NA
chr6:76372936-76380436;chr6;76372936;76380436;HSA_CIRCpedia_55551;hsa_circSENP6_034;NA;NA;NA;1;NA;NA;NA;NA
chr5:130782175-130782396;chr5;130782175;130782396;HSA_CIRCpedia_50091;hsa_circRAPGEF6_042;NA;NA;NA;4;NA;NA;NA;NA
chr11:111622882-111626174;chr11;111622882;111626174;HSA_CIRCpedia_3236;hsa_circPPP2R1B_009;NA;NA;NA;1;NA;NA;NA;NA
chr17:80828099-80861354;chr17;80828099;80861354;HSA_CIRCpedia_22950;hsa_circTBCD_091;NA;NA;NA;2;NA;NA;NA;NA
chr3:197556434-197566268;chr3;197556434;197566268;HSA_CIRCpedia_139118;hsa_circLRCH3_026;1;NA;NA;2;NA;2;NA;NA
chr10:121689118-121693299;chr10;121689118;121693299;HSA_CIRCpedia_694;hsa_circSEC23IP_021;NA;1;NA;1;NA;NA;NA;NA
chr9:125760875-125827880;chr9;125760875;125827880;hsa-circ-RABGAP1-overlap.3;NA;NA;NA;NA;2;NA;NA;NA;NA
chr9:123933436-123933826;chr9;123933436;123933826;hsa-circ-CNTRL-overlap.1;hsa_circCNTRL_029;NA;NA;NA;2;NA;NA;NA;NA
chr4:36179448-36195269;chr4;36179448;36195269;HSA_CIRCpedia_123847;hsa_circARAP2_011;NA;NA;NA;3;NA;NA;NA;NA
chr14:31398406-31405830;chr14;31398406;31405830;HSA_CIRCpedia_144386;NA;NA;NA;NA;2;NA;1;NA;NA
chr13:28748408-28813833;chr13;28748408;28813833;HSA_CIRCpedia_10465;hsa_circPAN3_009;NA;NA;NA;2;NA;NA;4;NA
chr11:111706887-111728460;chr11;111706887;111728460;HSA_CIRCpedia_3248;hsa_circALG9_012;NA;1;NA;2;NA;NA;NA;NA
chr3:172080422-172098883;chr3;172080422;172098883;HSA_CIRCpedia_44442;hsa_circFNDC3B_063;3;2;NA;3;NA;NA;NA;NA
chr4:39881347-39891984;chr4;39881347;39891984;HSA_CIRCpedia_48578;hsa_circPDS5A_071;NA;NA;NA;1;NA;NA;NA;NA
chr7:76950041-77006707;chr7;76950041;77006707;HSA_CIRCpedia_132663;hsa_circPION_012;NA;NA;NA;1;NA;NA;NA;NA
chr9:132569466-132571311;chr9;132569466;132571311;HSA_CIRCpedia_63109;hsa_circTOR1B_004;NA;NA;NA;1;NA;NA;1;2
